Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
104,Valley Lutheran High School,PHOENIX,0.006281758892489896,0.13568821989091245,0.016300940438871477,0.6136363636363636,0.2571428571428571,0.23529411764705882,0.14130434782608695,0.15492957746478875,0.10416666666666666,1,1,1
105,Victory High School - Campus,PHOENIX,0.0006001680470531748,1.0,0.3216300940438872,0.0,0.2571428571428571,0.0,0.858695652173913,0.1267605633802817,0.0,1,1,1
106,Phoenix Christian Preparatory School,PHOENIX,0.017124794942583923,0.059397428520410446,0.00877742946708464,0.34090909090909094,0.8857142857142857,0.0,0.32608695652173914,0.08450704225352113,0.0,1,1,1
107,Phoenix College Preparatory School,PHOENIX,0.008202296643060056,0.2424705043417073,0.03134796238244514,0.13636363636363635,0.2857142857142857,0.11764705882352941,0.7934782608695652,0.0,0.020833333333333332,1,1,1
108,Phoenix Collegiate Academy Charter School,PHOENIX,0.015404313207698153,0.395010714636198,0.19310344827586207,0.022727272727272728,0.22857142857142856,0.058823529411764705,0.9347826086956521,0.0,0.020833333333333332,1,1,1
109,Soronan Desert School,MESA,0.0012003360941063496,0.9635922470683072,0.3065830721003135,0.9545454545454546,0.08571428571428572,0.1764705882352941,0.08695652173913043,0.0,0.0,1,0,1
110,Gateway Early College High School,PHOENIX,0.012083383347337254,0.3575686505416729,0.09655172413793105,0.018181818181818184,0.38857142857142857,0.3529411764705882,0.867391304347826,0.004225352112676056,0.0062499999999999995,1,1,1
111,Franklin Police and Fire High School,PHOENIX,0.01120313687832593,0.17097891676674662,0.04012539184952978,0.03522727272727273,0.019999999999999997,0.09999999999999999,0.9826086956521739,0.014084507042253521,0.0,1,1,0
112,Great Hearts Academies - Teleos Prep,PHOENIX,0.009722722362261432,0.2603847736819607,0.0664576802507837,0.6136363636363636,0.15999999999999998,0.041176470588235294,0.24021739130434785,0.09999999999999999,0.13958333333333334,0,0,0
113,Mountain Ridge High School,GLENDALE,0.10715000200056014,0.08451050355397591,0.01692789968652038,0.7840909090909091,0.05714285714285714,0.058823529411764705,0.10869565217391303,0.14084507042253522,0.10416666666666666,1,1,1
114,Raymond S. Kellis,GLENDALE,0.07182010963069659,0.30568760261401046,0.07836990595611286,0.2727272727272727,0.22857142857142856,0.058823529411764705,0.5869565217391304,0.07042253521126761,0.10416666666666666,1,1,1
115,Sandra Day O'Connor High School,GLENDALE,0.10110831032689152,0.10834103274562946,0.025078369905956115,0.8409090909090909,0.05714285714285714,0.058823529411764705,0.11956521739130435,0.07042253521126761,0.08333333333333333,1,1,1
