Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?,Cluster
10,Carl Hayden High School,PHOENIX,0.0840635377905813,0.0536052860085502,0.0269592476489028,0.0113636363636363,0.0857142857142857,0.0,1.0,0.0,0.0208333333333333,1,1,1,2
11,Bella Vista College Prepratory School,SCOTTSDALE,0.003280918657224,0.2522757741653564,0.0376175548589341,0.4215909090909091,0.3542857142857142,0.0,0.0282608695652173,0.0633802816901408,0.8416666666666666,1,1,1,1
12,Basis Scottsdale,SCOTTSDALE,0.0420117632937222,0.0006899269180555,0.0006269592476489,0.2715909090909091,0.0514285714285714,0.0058823529411764,0.0326086956521739,0.8802816901408451,0.11875,1,1,1,1
13,Desert Edge High School,GOODYEAR,0.0711799303805065,0.24602853474185,0.0595611285266457,0.0795454545454545,0.3714285714285714,0.7941176470588235,0.5891304347826086,0.0380281690140845,0.1458333333333333,1,1,1,2
14,Estrella foothills High School,GOODYEAR,0.0487336454207178,0.2293554387969952,0.0557993730407523,0.5181818181818182,0.1285714285714285,0.0588235294117647,0.4358695652173913,0.0183098591549295,0.0958333333333333,1,0,1,1
15,Great Hearts Academies- Archway Trivium West,GOODYEAR,0.0430920657784179,0.0765669938234247,0.0557993730407523,0.1534090909090909,0.1999999999999999,0.7647058823529411,0.5869565217391304,0.0422535211267605,0.0,0,1,1,2
16,Great Hearts Academies- Trivium Prep,GOODYEAR,1.0,0.244166774648752,0.0589341692789968,0.4738636363636364,0.1742857142857142,0.3764705882352941,0.3315217391304348,0.1309859154929577,0.1708333333333333,1,1,1,1
17,Millenium High School,GOODYEAR,0.0878245908854479,0.1301029396116186,0.0307210031347962,0.4613636363636364,0.2771428571428571,0.088235294117647,0.3739130434782609,0.1056338028169014,0.0,1,1,1,1
18,Higley High School,GILBERT,0.0665386308166286,0.1002320332290251,0.0213166144200626,0.7738636363636363,0.0971428571428571,0.0352941176470588,0.1728260869565217,0.0507042253521126,0.0124999999999999,1,1,1,1
19,Leading Edge Academy Gilbert Early College,GILBERT,0.0028007842195814,0.3840470163101768,0.038244514106583,0.7386363636363636,0.0857142857142857,0.1176470588235294,0.2391304347826086,0.028169014084507,0.0208333333333333,1,1,1,1
20,Learning Foundation And Performing Arts Gilbert,GILBERT,0.0163645820829832,0.5485024912004944,0.2796238244514107,0.6477272727272727,0.1999999999999999,0.0,0.2065217391304347,0.0422535211267605,0.0208333333333333,1,1,1,1
21,Seton Catholic Preparatory High School,CHANDLER,0.0235265874444844,0.036311603365996,0.0050156739811912,0.8181818181818182,0.0285714285714285,0.0588235294117647,0.1413043478260869,0.0422535211267605,0.0208333333333333,1,1,1,1
22,Estrella High School,AVONDALE,0.0100428119873564,0.6511475309999605,0.1705329153605015,0.1193181818181818,0.5114285714285713,0.0,0.7054347826086956,0.0,0.0770833333333333,1,1,1,0
